Strain Name, Gram, Eighth, Quad, Half, Ounce, Dispensary, Location,Blueberry,13,45,90,160,320,Ketama,San Francisco
papaya,18,45,80,160,320,Green Cure Delivery,San Francisco
platinum jack,20,55,100,180,300,Bay Care Delivery,San Francisco
purple cadillac,,55,100,180,290,Foggy Daze Organic Delivery Service,San Francisco
purple cadillac,,49,95,,,True Healing Collective - Oakland,Oakland
purple mr nice,15,40,75,150,300,Green Cure Delivery,San Francisco
sour alien,12,44,,,,Igzactly 420,San Francisco
sour tangie,,45,80,135,,Quil Delivery,San Francisco
sour tangie,,50,90,160,280,Foggy Daze Organic Delivery Service,San Francisco
space bomb,20,60,110,220,375,Green Cure Delivery,San Francisco
sugar cookies,9,30,60,120,240,Cookies SF,San Francisco
sugar cookies,12,42,,,,First Hemp Bank,Oakland
sugar cookies,,45,75,,,Grasshopper SF,San Francisco
super silver haze,18,60,110,200,350,Grass Roots Collective,San Francisco
super silver haze,,45,90,175,,Golden Line,San Francisco
super silver haze,,45,85,160,320,INDIKA MCC,Daly City
white widow,,35,70,120,205,Buena Leaf,Daly City
